dataset-comment "Conformance conversion: Mon Dec 07 09:59:10 2009"
dataset-description "Sudden Expansion 500 "
dataset-orientation "Sudden Expansion"
dataset-reynolds 0500
dataset-laminar-turbulent ""
dataset-experiment 1
dataset-code 243
dataset-experiment 1
geometry-flow-z-direction +1
geometry-throat-outlet-expansion-type "sudden"
geometry-sudden-z 0.0
fluid-density 1056
fluid-viscosity 0.0035
4.0454600E-003  0.00000E+000
4.2135850E-003  0.00000E+000
4.3817100E-003  0.00000E+000
4.5498350E-003  0.00000E+000
4.7179600E-003  0.00000E+000
4.8860850E-003  0.00000E+000
5.0542100E-003  0.00000E+000
5.2223350E-003  0.00000E+000
5.3904600E-003  0.00000E+000
5.5585850E-003  0.00000E+000
5.7267100E-003  0.00000E+000
5.8948350E-003  0.00000E+000
6.0629600E-003  0.00000E+000
6.2310850E-003  0.00000E+000
6.3992100E-003  0.00000E+000
6.5673350E-003  0.00000E+000
6.7354600E-003  0.00000E+000
6.9035850E-003  0.00000E+000
7.0717100E-003  0.00000E+000
7.2398350E-003  0.00000E+000
7.4079600E-003  0.00000E+000
7.5760850E-003  0.00000E+000
7.7442100E-003  0.00000E+000
7.9123350E-003  0.00000E+000
8.0804600E-003  0.00000E+000
8.2485850E-003  0.00000E+000
8.4167100E-003  0.00000E+000
8.5848350E-003  0.00000E+000
8.7529600E-003  0.00000E+000
8.9210850E-003  0.00000E+000
9.0892100E-003  0.00000E+000
9.2573350E-003  0.00000E+000
9.4254600E-003  0.00000E+000
9.5935850E-003  0.00000E+000
plot-profile-axial-velocity-at-z 0.00800 0
100
-7.0507900E-003  0.00000E+000
-6.8826650E-003  0.00000E+000
-6.7145400E-003  0.00000E+000
-6.5464150E-003  0.00000E+000
-6.3782900E-003  0.00000E+000
-6.2101650E-003  0.00000E+000
-6.0420400E-003  -2.02682E-003
-5.8739150E-003  -3.73002E-003
-5.7057900E-003  -5.97847E-003
-5.5376650E-003  -8.69910E-003
-5.3695400E-003  -1.09307E-002
-5.2014150E-003  -1.27937E-002
-5.0332900E-003  -1.45660E-002
-4.8651650E-003  -1.58171E-002
-4.6970400E-003  -1.66771E-002
-4.5289150E-003  -1.71453E-002
-4.3607900E-003  -1.73484E-002
-4.1926650E-003  -1.68754E-002
-4.0245400E-003  -1.60034E-002
-3.8564150E-003  -1.40970E-002
-3.6882900E-003  -1.17875E-002
-3.5201650E-003  -8.48309E-003
-3.3520400E-003  -3.71878E-003
-3.1839150E-003  2.77523E-003
-3.0157900E-003  1.06512E-002
-2.8476650E-003  2.00739E-002
-2.6795400E-003  3.14438E-002
-2.5114150E-003  4.68513E-002
